Authors
"('Bukkavesa K.', 'Kulvanich N.')"
"('Namnaun B.', 'Yoodee K.')"
"('Namnaun B.', 'Chatraphorn S.')"
"('Yoodee K.', 'Chatraphorn S.')"
"('Sintham P.', 'Saengkaew P.')"
"('Sintham P.', 'Sanorpim S.')"
"('Saengkaew P.', 'Sanorpim S.')"
"('Noikaew B.', 'Sukaiem S.')"
"('Noikaew B.', 'Namnuan B.')"
"('Noikaew B.', 'Chatraphorn S.')"
"('Sukaiem S.', 'Namnuan B.')"
"('Sukaiem S.', 'Chatraphorn S.')"
"('Namnuan B.', 'Chatraphorn S.')"
"('Wachirapusitanand V.', 'Suwonjandee N.')"
"('Wachirapusitanand V.', 'Asavapibhop B.')"
"('Wachirapusitanand V.', 'Srimanobhas N.')"
"('Suwonjandee N.', 'Asavapibhop B.')"
"('Suwonjandee N.', 'Srimanobhas N.')"
"('Asavapibhop B.', 'Srimanobhas N.')"
"('Piankoranee S.', 'Limkumnerd S.')"
"('Tekacharin P.', 'Chobaomsup V.')"
"('Tekacharin P.', 'Kamchaddaskorn A.')"
"('Tekacharin P.', 'Jongprateep O.')"
"('Tekacharin P.', 'Saisriyoot M.')"
"('Tekacharin P.', 'Surawathanawises K.')"
"('Tekacharin P.', 'Boonyongmaneerat Y.')"
"('Tekacharin P.', 'Techapiesancharoenkij R.')"
"('Chobaomsup V.', 'Kamchaddaskorn A.')"
"('Chobaomsup V.', 'Jongprateep O.')"
"('Chobaomsup V.', 'Saisriyoot M.')"
"('Chobaomsup V.', 'Surawathanawises K.')"
"('Chobaomsup V.', 'Boonyongmaneerat Y.')"
"('Chobaomsup V.', 'Techapiesancharoenkij R.')"
"('Kamchaddaskorn A.', 'Jongprateep O.')"
"('Kamchaddaskorn A.', 'Saisriyoot M.')"
"('Kamchaddaskorn A.', 'Surawathanawises K.')"
"('Kamchaddaskorn A.', 'Boonyongmaneerat Y.')"
"('Kamchaddaskorn A.', 'Techapiesancharoenkij R.')"
"('Jongprateep O.', 'Saisriyoot M.')"
"('Jongprateep O.', 'Surawathanawises K.')"
"('Jongprateep O.', 'Boonyongmaneerat Y.')"
"('Jongprateep O.', 'Techapiesancharoenkij R.')"
"('Saisriyoot M.', 'Surawathanawises K.')"
"('Saisriyoot M.', 'Boonyongmaneerat Y.')"
"('Saisriyoot M.', 'Techapiesancharoenkij R.')"
"('Surawathanawises K.', 'Boonyongmaneerat Y.')"
"('Surawathanawises K.', 'Techapiesancharoenkij R.')"
"('Boonyongmaneerat Y.', 'Techapiesancharoenkij R.')"
"('Payupol T.', 'Suwonjandee N.')"
"('Payupol T.', 'Asavapibhop B.')"
"('Songwadhana J.', 'Khosonthongkee K.')"
"('Songwadhana J.', 'Yan Y.')"
"('Songwadhana J.', 'Limphirat A.')"
"('Songwadhana J.', 'Payupol T.')"
"('Khosonthongkee K.', 'Yan Y.')"
"('Khosonthongkee K.', 'Limphirat A.')"
"('Khosonthongkee K.', 'Payupol T.')"
"('Yan Y.', 'Limphirat A.')"
"('Yan Y.', 'Payupol T.')"
"('Limphirat A.', 'Payupol T.')"
"('Suwonjandee N.', 'Mahachok T.')"
"('Mahachok T.', 'Asavapibhop B.')"
"('Rodphai N.', 'Suwonjandee N.')"
"('Rodphai N.', 'Asavapibhop B.')"
"('Duangklang P.', 'Tianprateep M.')"
"('Duangklang P.', 'Wannadelok O.')"
